"ring_diagonalLength [mm]","w [mm]","Freq [GHz]","re(S(FloquetPort1:1,FloquetPort1:1)) []","im(S(FloquetPort1:1,FloquetPort1:1)) []"
0.4,0.1,26,-0.913321772426675,0.406613237337854
0.4,0.1,26.01,-0.913244785964935,0.40678611338532
0.4,0.1,26.02,-0.913167750303825,0.406959006555625
0.4,0.1,26.03,-0.913090665433888,0.407131916868758
0.4,0.1,26.04,-0.913013531345582,0.407304844344676
0.4,0.1,26.05,-0.912936348029288,0.407477789003313
0.4,0.1,26.06,-0.912859115475303,0.407650750864574
0.4,0.1,26.07,-0.91278183367385,0.407823729948336
0.4,0.1,26.08,-0.912704502615064,0.407996726274445
0.4,0.1,26.09,-0.912627122289006,0.408169739862726
0.4,0.1,26.1,-0.91254969268565,0.408342770732967
0.4,0.1,26.11,-0.912472213794893,0.408515818904931
0.4,0.1,26.12,-0.91239468560655,0.408688884398349
0.4,0.1,26.13,-0.912317108110354,0.408861967232926
0.4,0.1,26.14,-0.912239481295957,0.409035067428333
0.4,0.1,26.15,-0.912161805152931,0.409208185004213
0.4,0.1,26.16,-0.912084079670764,0.409381319980176
0.4,0.1,26.17,-0.912006304838863,0.409554472375805
0.4,0.1,26.18,-0.911928480646551,0.409727642210647
0.4,0.1,26.19,-0.911850607083074,0.409900829504219
0.4,0.1,26.2,-0.911772684137588,0.410074034276009
0.4,0.1,26.21,-0.911694711799175,0.410247256545466
0.4,0.1,26.22,-0.911616690056829,0.410420496332014
0.4,0.1,26.23,-0.911538618899463,0.410593753655038
0.4,0.1,26.24,-0.911460498315906,0.410767028533893
0.4,0.1,26.25,-0.911382328294906,0.4109403209879
0.4,0.1,26.26,-0.911304108825126,0.411113631036343
0.4,0.1,26.27,-0.911225839895147,0.411286958698478
0.4,0.1,26.28,-0.911147521493466,0.41146030399352
0.4,0.1,26.29,-0.911069153608495,0.411633666940652
0.4,0.1,26.3,-0.910990736228566,0.411807047559023
0.4,0.1,26.31,-0.910912269341923,0.411980445867746
0.4,0.1,26.32,-0.91083375293673,0.412153861885893
0.4,0.1,26.33,-0.910755187001063,0.412327295632508
0.4,0.1,26.34,-0.910676571522916,0.412500747126592
0.4,0.1,26.35,-0.910597906490201,0.412674216387113
0.4,0.1,26.36,-0.910519191890739,0.412847703433001
0.4,0.1,26.37,-0.910440427712273,0.413021208283146
0.4,0.1,26.38,-0.910361613942458,0.413194730956405
0.4,0.1,26.39,-0.910282750568863,0.413368271471591
0.4,0.1,26.4,-0.910203837578975,0.413541829847484
0.4,0.1,26.41,-0.910124874960193,0.413715406102822
0.4,0.1,26.42,-0.910045862699833,0.413889000256305
0.4,0.1,26.43,-0.909966800785125,0.414062612326593
0.4,0.1,26.44,-0.909887689203212,0.414236242332308
0.4,0.1,26.45,-0.909808527941151,0.41440989029203
0.4,0.1,26.46,-0.909729316985914,0.414583556224307
0.4,0.1,26.47,-0.909650056324349,0.414757240147715
0.4,0.1,26.48,-0.909570745943438,0.414930942080321
0.4,0.1,26.49,-0.909491385829644,0.415104662041089
0.4,0.1,26.5,-0.90941197596972,0.415278400048122
0.4,0.1,26.51,-0.909332516350197,0.415452156119775
0.4,0.1,26.52,-0.909253006957527,0.415625930274343
0.4,0.1,26.53,-0.909173447778079,0.415799722530074
0.4,0.1,26.54,-0.909093838798134,0.415973532905172
0.4,0.1,26.55,-0.909014180003885,0.416147361417798
0.4,0.1,26.56,-0.908934471381442,0.416321208086073
0.4,0.1,26.57,-0.908854712916824,0.416495072928064
0.4,0.1,26.58,-0.908774904595962,0.416668955961804
0.4,0.1,26.59,-0.908695046404705,0.416842857205274
0.4,0.1,26.6,-0.908615138328808,0.417016776676415
0.4,0.1,26.61,-0.908535180353943,0.417190714393119
0.4,0.1,26.62,-0.908455172465691,0.417364670373232
0.4,0.1,26.63,-0.908375114649547,0.417538644634557
